Frequency (Hz), ch0 (dB), ch1 (dB)
2738952.75, -91.78, -93.22
2746582.00, -92.77, -90.30
2754211.50, -88.42, -92.78
2761840.75, -90.46, -96.00
2769470.25, -89.32, -93.25
2777099.50, -90.02, -90.78
2784729.00, -90.08, -90.10
2792358.50, -89.48, -93.17
2799987.75, -87.64, -92.13
2807617.25, -88.12, -91.34
2815246.50, -90.90, -91.71
2822876.00, -94.44, -91.53
2830505.25, -93.95, -91.43
2838134.75, -91.14, -91.01
2845764.25, -92.38, -92.46
2853393.50, -92.48, -93.83
2861023.00, -94.18, -92.89
2868652.25, -88.77, -91.69
2876281.75, -90.56, -90.61
2883911.25, -93.98, -90.56
2891540.50, -92.46, -90.19
2899170.00, -95.87, -89.76
2906799.25, -91.81, -91.57
2914428.75, -92.33, -92.46
2922058.00, -92.18, -94.80
2929687.50, -91.76, -92.25
2937317.00, -92.39, -90.31
2944946.25, -90.33, -94.30
2952575.75, -90.80, -91.37
2960205.00, -92.68, -93.56
2967834.50, -92.18, -94.95
2975463.75, -92.97, -91.70
2983093.25, -91.67, -91.78
2990722.75, -91.06, -92.05
2998352.00, -91.39, -95.26
3005981.50, -91.81, -89.41
3013610.75, -89.13, -88.96
3021240.25, -91.23, -90.56
3028869.75, -90.86, -92.09
3036499.00, -93.08, -90.70
3044128.50, -93.69, -89.97
3051757.75, -90.41, -91.30
3059387.25, -89.00, -94.14
3067016.50, -90.62, -92.74
3074646.00, -91.83, -93.63
3082275.50, -92.74, -93.12
3089904.75, -91.68, -90.87
3097534.25, -93.51, -92.83
3105163.50, -91.63, -93.16
3112793.00, -94.59, -92.91
3120422.25, -90.85, -91.92
3128051.75, -92.39, -92.54
3135681.25, -93.77, -92.15
3143310.50, -90.41, -88.89
3150940.00, -92.87, -91.28
3158569.25, -90.73, -93.84
3166198.75, -92.73, -91.76
3173828.00, -92.01, -92.80
3181457.50, -90.90, -90.54
3189087.00, -90.76, -90.69
3196716.25, -90.58, -91.02
3204345.75, -93.98, -92.37
3211975.00, -91.54, -90.25
3219604.50, -91.06, -90.20
3227234.00, -91.53, -94.63
3234863.25, -91.43, -96.16
3242492.75, -91.95, -96.71
3250122.00, -92.25, -93.64
3257751.50, -94.11, -92.27
3265380.75, -91.91, -93.68
3273010.25, -95.23, -93.28
3280639.75, -92.54, -90.33
3288269.00, -93.52, -92.34
3295898.50, -92.79, -92.23
3303527.75, -90.61, -93.59
3311157.25, -96.61, -89.94
3318786.50, -91.58, -92.76
3326416.00, -90.82, -93.46
3334045.50, -91.65, -95.93
3341674.75, -94.17, -91.28
3349304.25, -89.64, -91.37
3356933.50, -92.84, -93.64
3364563.00, -95.06, -94.25
3372192.50, -94.75, -91.04
3379821.75, -90.75, -92.64
3387451.25, -91.53, -90.53
3395080.50, -96.91, -91.54
3402710.00, -94.88, -90.29
3410339.25, -93.29, -90.95
3417968.75, -94.27, -91.43
3425598.25, -92.18, -92.93
3433227.50, -92.34, -96.14
3440857.00, -92.32, -94.67
3448486.25, -91.28, -92.05
3456115.75, -91.13, -95.63
3463745.00, -89.81, -91.02
3471374.50, -91.94, -95.18
3479004.00, -91.96, -91.46
3486633.25, -89.90, -91.22
3494262.75, -93.84, -93.76
3501892.00, -89.92, -93.11
3509521.50, -89.47, -96.25
3517151.00, -96.14, -95.34
3524780.25, -91.48, -93.63
3532409.75, -91.26, -92.02
3540039.00, -92.53, -91.64
3547668.50, -90.50, -91.65
3555297.75, -90.74, -91.27
3562927.25, -89.42, -89.69
3570556.75, -90.55, -91.59
3578186.00, -93.79, -91.32
3585815.50, -92.22, -93.61
3593444.75, -92.81, -93.34
3601074.25, -93.44, -91.37
3608703.50, -92.45, -90.13
3616333.00, -93.86, -93.86
3623962.50, -94.37, -92.19
3631591.75, -93.54, -91.43
3639221.25, -90.93, -92.58
3646850.50, -90.39, -94.11
3654480.00, -92.19, -92.75
3662109.50, -91.55, -88.85
3669738.75, -91.53, -92.75
3677368.25, -94.94, -90.63
3684997.50, -92.62, -90.48
3692627.00, -95.85, -94.80
3700256.25, -92.50, -91.16
3707885.75, -92.44, -95.49
3715515.25, -91.18, -93.61
3723144.50, -90.76, -92.49
3730774.00, -94.10, -92.60
3738403.25, -92.83, -92.83
3746032.75, -92.80, -95.75
3753662.00, -91.09, -92.48
3761291.50, -89.94, -91.60
3768921.00, -93.46, -92.44
3776550.25, -91.85, -93.81
3784179.75, -94.16, -94.40
3791809.00, -91.22, -90.57
3799438.50, -93.32, -94.27
3807067.75, -94.14, -94.94
3814697.25, -92.14, -96.13
3822326.75, -89.99, -94.26
3829956.00, -90.42, -93.97
3837585.50, -90.15, -90.60
3845214.75, -92.22, -91.99
3852844.25, -89.29, -90.71
3860473.75, -90.89, -95.65
3868103.00, -91.00, -89.63
3875732.50, -91.88, -90.55
3883361.75, -93.75, -92.04
3890991.25, -93.84, -94.00
3898620.50, -90.30, -91.47
3906250.00, -90.21, -91.18
3913879.50, -90.32, -91.22
3921508.75, -91.20, -93.24
3929138.25, -90.99, -91.63
3936767.50, -93.92, -90.45
3944397.00, -93.91, -91.37
3952026.25, -91.30, -90.11
3959655.75, -90.43, -91.20
3967285.25, -90.51, -97.72
3974914.50, -91.47, -94.16
3982544.00, -91.46, -93.58
3990173.25, -90.96, -92.73
3997802.75, -93.95, -90.39
4005432.25, -94.82, -92.94
4013061.50, -94.94, -95.57
4020691.00, -89.78, -94.16
4028320.25, -89.11, -91.03
4035949.75, -93.12, -91.82
4043579.00, -93.26, -90.51
4051208.50, -91.18, -94.59
4058838.00, -95.11, -95.24
4066467.25, -92.08, -94.22
4074096.75, -95.21, -92.80
4081726.00, -93.45, -93.77
4089355.50, -89.64, -94.91
4096984.75, -90.07, -94.87
4104614.25, -91.48, -90.90
4112243.75, -93.24, -93.51
4119873.00, -92.81, -88.58
4127502.50, -90.23, -89.70
4135131.75, -93.55, -91.61
4142761.25, -92.55, -91.11
4150390.50, -94.77, -95.20
4158020.00, -94.27, -94.09
4165649.50, -90.15, -93.19
4173278.75, -90.61, -93.38
4180908.25, -92.55, -94.97
4188537.50, -90.66, -91.51
4196167.00, -90.24, -90.18
4203796.50, -92.87, -89.73
4211426.00, -92.35, -88.71
4219055.00, -90.86, -89.66
4226684.50, -95.10, -91.20
4234314.00, -92.96, -94.61
4241943.50, -94.19, -93.45
4249573.00, -94.30, -92.41
4257202.00, -92.36, -91.05
4264831.50, -91.54, -90.71
4272461.00, -95.06, -90.36
4280090.50, -93.38, -92.91
4287719.50, -92.79, -90.91
4295349.00, -96.68, -91.04
4302978.50, -91.58, -91.43
4310608.00, -93.98, -92.64
4318237.50, -90.81, -92.41
4325866.50, -90.47, -88.58
4333496.00, -91.88, -89.30
4341125.50, -94.91, -90.92
4348755.00, -93.50, -91.93
4356384.50, -91.60, -90.97
4364013.50, -90.51, -92.10
4371643.00, -89.49, -92.62
4379272.50, -93.82, -95.00
4386902.00, -90.31, -95.19
4394531.00, -92.65, -90.82
4402160.50, -93.68, -90.84
4409790.00, -92.39, -95.53
4417419.50, -92.66, -91.33
4425049.00, -90.28, -90.13
4432678.00, -93.80, -93.95
4440307.50, -93.62, -92.07
4447937.00, -92.06, -93.60
4455566.50, -90.74, -91.23
4463196.00, -90.77, -90.27
4470825.00, -90.05, -90.89
4478454.50, -89.88, -91.31
4486084.00, -87.22, -92.14
4493713.50, -91.34, -98.62
4501343.00, -91.86, -93.73
4508972.00, -90.31, -92.53
4516601.50, -90.02, -91.25
4524231.00, -94.70, -95.33
4531860.50, -91.59, -93.72
4539489.50, -89.86, -95.46
4547119.00, -89.80, -92.94
4554748.50, -94.71, -92.99
4562378.00, -97.57, -92.64
4570007.50, -92.76, -90.16
4577636.50, -92.94, -91.82
4585266.00, -90.99, -91.60
4592895.50, -88.88, -91.40
4600525.00, -87.74, -93.11
4608154.50, -88.56, -93.77
4615783.50, -87.32, -90.72
4623413.00, -90.61, -91.04
4631042.50, -92.42, -89.78
4638672.00, -93.40, -94.29
4646301.50, -94.77, -94.31
4653930.50, -93.19, -90.43
4661560.00, -93.93, -92.33
4669189.50, -95.21, -92.79
4676819.00, -98.21, -96.94
4684448.00, -91.99, -90.82
4692077.50, -95.36, -89.38
4699707.00, -90.95, -91.75
4707336.50, -89.87, -89.56
4714966.00, -90.08, -90.78
4722595.00, -94.02, -89.57
4730224.50, -92.17, -91.50
4737854.00, -91.32, -95.33
4745483.50, -91.10, -92.37
4753113.00, -89.97, -92.04
4760742.00, -92.44, -92.55
4768371.50, -92.60, -96.03
4776001.00, -92.30, -93.12
4783630.50, -90.12, -93.51
4791260.00, -92.96, -94.72
4798889.00, -92.57, -94.58
4806518.50, -90.29, -94.16
4814148.00, -89.96, -93.41
4821777.50, -90.09, -94.44
4829406.50, -91.20, -95.86
4837036.00, -92.78, -93.71
4844665.50, -95.15, -92.08
4852295.00, -93.67, -94.40
4859924.50, -95.25, -92.77
4867553.50, -92.79, -91.94
4875183.00, -89.91, -92.13
4882812.50, -90.81, -90.65
4890442.00, -91.31, -90.17
4898071.50, -91.53, -90.99
4905700.50, -92.86, -89.75
4913330.00, -90.22, -90.27
4920959.50, -90.20, -90.63
4928589.00, -89.37, -90.59
4936218.50, -89.23, -96.33
4943847.50, -90.27, -92.03
4951477.00, -91.56, -91.49
4959106.50, -89.78, -91.21
4966736.00, -92.03, -89.49
4974365.00, -89.85, -91.21
4981994.50, -91.32, -92.35
4989624.00, -92.46, -90.87
4997253.50, -92.57, -91.15
5004883.00, -90.28, -95.33
5012512.00, -93.27, -96.47
5020141.50, -93.61, -93.93
5027771.00, -92.45, -92.07
5035400.50, -93.88, -94.16
5043030.00, -95.05, -94.73
5050659.00, -92.92, -90.99
5058288.50, -92.97, -92.06
5065918.00, -89.21, -93.58
5073547.50, -90.70, -93.68
5081177.00, -92.01, -92.88
5088806.00, -91.50, -92.43
5096435.50, -91.74, -90.82
5104065.00, -95.49, -88.61
5111694.50, -95.19, -90.95
5119323.50, -90.63, -93.11
5126953.00, -90.41, -92.48
5134582.50, -92.31, -93.95
5142212.00, -91.62, -94.72
5149841.50, -92.26, -95.17
5157470.50, -91.28, -94.73
5165100.00, -92.92, -94.02
5172729.50, -91.88, -95.72
5180359.00, -92.85, -92.27
5187988.50, -92.75, -90.81
5195617.50, -91.62, -92.02
5203247.00, -90.62, -90.47
5210876.50, -90.92, -94.03
5218506.00, -92.83, -91.48
5226135.50, -91.11, -92.70
5233764.50, -91.65, -95.18
5241394.00, -91.82, -94.79
5249023.50, -90.11, -92.08
5256653.00, -89.36, -93.39
5264282.00, -90.44, -93.80
5271911.50, -92.00, -95.01
5279541.00, -91.02, -92.34
5287170.50, -92.92, -92.53
5294800.00, -94.90, -92.84
5302429.00, -92.92, -91.05
5310058.50, -93.53, -90.70
5317688.00, -91.23, -91.99
5325317.50, -89.45, -94.52
5332947.00, -90.18, -97.90
5340576.00, -94.23, -90.18
5348205.50, -91.89, -92.07
5355835.00, -90.68, -92.65
5363464.50, -94.28, -94.92
5371094.00, -94.49, -93.05
5378723.00, -91.48, -89.54
5386352.50, -92.39, -91.00
5393982.00, -93.52, -92.94
5401611.50, -90.12, -92.82
5409240.50, -89.92, -93.18
5416870.00, -92.07, -92.45
5424499.50, -93.19, -92.28
5432129.00, -90.57, -91.92
5439758.50, -93.79, -92.53
5447387.50, -92.30, -90.35
5455017.00, -90.79, -91.66
5462646.50, -93.20, -93.17
5470276.00, -91.46, -90.54
5477905.50, -91.76, -91.79
5485534.50, -90.19, -91.81
5493164.00, -92.49, -89.03
5500793.50, -94.48, -89.45
5508423.00, -91.42, -93.03
5516052.00, -92.50, -91.42
5523681.50, -93.19, -95.62
5531311.00, -91.48, -98.89
5538940.50, -89.66, -93.64
5546570.00, -90.49, -93.18
5554199.00, -90.45, -90.57
5561828.50, -89.53, -89.87
5569458.00, -90.14, -91.87
5577087.50, -95.50, -95.03
5584717.00, -94.06, -91.20
5592346.00, -94.31, -89.55
5599975.50, -96.18, -91.90
5607605.00, -94.15, -93.11
5615234.50, -90.71, -90.95
5622864.00, -91.38, -91.94
5630493.00, -95.70, -92.50
5638122.50, -93.68, -93.68
5645752.00, -90.18, -93.89
5653381.50, -88.82, -92.51
5661010.50, -91.82, -91.43
5668640.00, -93.48, -90.29
5676269.50, -90.88, -91.43
5683899.00, -89.56, -93.85
5691528.50, -88.81, -90.17
5699157.50, -93.50, -92.34
5706787.00, -94.17, -91.61
5714416.50, -93.95, -90.99
5722046.00, -90.39, -91.65
5729675.50, -90.72, -91.69
5737304.50, -90.41, -91.48
5744934.00, -91.37, -91.85
5752563.50, -93.53, -93.12
5760193.00, -91.64, -93.49
5767822.50, -93.42, -91.89
5775451.50, -91.99, -94.97
5783081.00, -92.37, -93.71
5790710.50, -91.42, -92.62
5798340.00, -91.20, -92.46
5805969.00, -94.04, -96.10
5813598.50, -93.91, -91.13
5821228.00, -94.71, -91.30
5828857.50, -92.20, -93.76
5836487.00, -91.42, -92.82
5844116.00, -90.85, -92.27
5851745.50, -91.18, -90.11
5859375.00, -90.07, -90.57
5867004.50, -92.90, -90.15
5874634.00, -92.66, -91.90
5882263.00, -92.32, -93.44
5889892.50, -93.94, -95.27
5897522.00, -89.91, -94.03
5905151.50, -92.40, -91.84
5912781.00, -93.92, -93.11
5920410.00, -92.47, -94.24
5928039.50, -89.90, -91.42
5935669.00, -93.77, -89.80
5943298.50, -93.64, -90.32
5950927.50, -92.36, -91.70
5958557.00, -92.06, -92.18
5966186.50, -91.96, -91.29
5973816.00, -93.33, -89.67
5981445.50, -93.25, -90.02
5989074.50, -90.52, -89.94
5996704.00, -90.45, -92.93
6004333.50, -89.95, -93.94
6011963.00, -92.01, -90.38
6019592.50, -92.35, -91.10
6027221.50, -95.15, -91.27
6034851.00, -94.73, -93.54
6042480.50, -92.95, -93.01
6050110.00, -92.30, -91.68
6057739.50, -90.90, -90.91
6065368.50, -91.40, -90.11
6072998.00, -89.33, -92.44
6080627.50, -89.53, -89.94
6088257.00, -93.14, -91.14
6095886.00, -89.55, -89.96
6103515.50, -90.11, -93.35
6111145.00, -93.88, -96.68
6118774.50, -94.81, -94.26
6126404.00, -93.60, -92.01
6134033.00, -91.91, -91.86
6141662.50, -90.41, -91.44
6149292.00, -90.11, -92.12
6156921.50, -89.50, -90.02
6164551.00, -88.81, -92.48
6172180.00, -88.63, -92.26
6179809.50, -89.77, -91.30
6187439.00, -90.16, -93.38
6195068.50, -91.70, -91.92
6202698.00, -94.73, -90.80
6210327.00, -90.39, -93.24
6217956.50, -90.58, -90.70
6225586.00, -93.41, -89.96
6233215.50, -93.07, -90.16
6240844.50, -93.72, -89.40
6248474.00, -91.50, -91.87
6256103.50, -91.03, -91.06
6263733.00, -92.53, -95.48
6271362.50, -90.62, -91.62
6278991.50, -91.38, -88.57
6286621.00, -90.55, -91.96
6294250.50, -91.09, -93.39
6301880.00, -90.55, -93.31
6309509.50, -90.74, -94.43
6317138.50, -89.78, -93.03
6324768.00, -91.11, -92.76
6332397.50, -90.93, -94.31
6340027.00, -92.39, -93.46
6347656.00, -92.22, -93.93
6355285.50, -91.89, -94.05
6362915.00, -95.54, -95.94
6370544.50, -93.38, -93.08
6378174.00, -90.19, -91.32
6385803.00, -90.94, -91.22
6393432.50, -91.53, -89.90
6401062.00, -91.25, -90.45
6408691.50, -92.97, -93.56
6416321.00, -91.91, -97.29
6423950.00, -90.24, -93.43
6431579.50, -94.38, -91.14
6439209.00, -95.06, -91.21
6446838.50, -94.46, -88.27
6454468.00, -89.61, -90.90
6462097.00, -91.53, -89.28
6469726.50, -92.44, -88.65
6477356.00, -92.79, -88.79
6484985.50, -90.74, -89.30
6492614.50, -91.91, -91.57
6500244.00, -93.60, -90.36
6507873.50, -94.33, -91.60
6515503.00, -90.53, -92.24
6523132.50, -92.40, -91.96
6530761.50, -92.76, -93.34
6538391.00, -90.58, -92.20
6546020.50, -89.91, -94.39
6553650.00, -91.58, -92.95
6561279.50, -95.48, -94.12
6568908.50, -93.80, -92.98
6576538.00, -93.21, -90.69
6584167.50, -92.93, -91.37
6591797.00, -93.30, -93.83
6599426.50, -90.87, -92.80
6607055.50, -90.79, -90.26
6614685.00, -89.97, -93.83
6622314.50, -92.81, -93.30
6629944.00, -93.84, -91.27
6637573.00, -92.08, -94.23
6645202.50, -92.21, -93.69
6652832.00, -91.30, -91.41
6660461.50, -90.59, -88.58
6668091.00, -89.80, -90.94
6675720.00, -90.75, -91.57
6683349.50, -92.48, -90.42
6690979.00, -95.83, -93.84
